task_id,task,total,page
130000_130100,河北省_石家,280,10
130000_130200,河北省_唐山,179,6
130000_130300,河北省_秦皇,78,3
130000_130400,河北省_邯郸,128,5
130000_130500,河北省_邢台,71,3
130000_130600,河北省_保定,120,5
130000_130700,河北省_张家,53,2
130000_130800,河北省_承德,49,2
130000_130900,河北省_沧州,64,3
130000_131000,河北省_廊坊,90,4
130000_131100,河北省_衡水,43,2
140000_140100,山西省_太原,325,11
140000_140200,山西省_大同,139,5
140000_140300,山西省_阳泉,26,1
140000_140400,山西省_长治,45,2
140000_140500,山西省_晋城,59,2
140000_140600,山西省_朔州,52,2
140000_140700,山西省_晋中,60,3
140000_140800,山西省_运城,51,2
140000_140900,山西省_忻州,41,2
140000_141000,山西省_临汾,105,4
140000_141100,山西省_吕梁,40,2
150000_150100,内蒙古自治区_呼和,435,15
150000_150200,内蒙古自治区_包头,186,7
150000_150300,内蒙古自治区_乌海,55,2
150000_150400,内蒙古自治区_赤峰,258,9
150000_150500,内蒙古自治区_通辽,431,15
150000_150600,内蒙古自治区_鄂尔,103,4
150000_150700,内蒙古自治区_呼伦,149,5
150000_150800,内蒙古自治区_巴彦,429,15
150000_150900,内蒙古自治区_乌兰,639,22
150000_152200,内蒙古自治区_兴安,216,8
150000_152500,内蒙古自治区_锡林,110,4
150000_152900,内蒙古自治区_阿拉,58,2
210000_210100,辽宁省_沈阳,383,13
210000_210200,辽宁省_大连,231,8
210000_210300,辽宁省_鞍山,97,4
210000_210400,辽宁省_抚顺,75,3
210000_210500,辽宁省_本溪,48,2
210000_210600,辽宁省_丹东,65,3
210000_210700,辽宁省_锦州,90,4
210000_210800,辽宁省_营口,29,1
210000_210900,辽宁省_阜新,42,2
210000_211000,辽宁省_辽阳,57,2
210000_211100,辽宁省_盘锦,53,2
210000_211200,辽宁省_铁岭,43,2
210000_211300,辽宁省_朝阳,73,3
210000_211400,辽宁省_葫芦,47,2
220000_220100,吉林省_长春,153,6
220000_220200,吉林省_吉林,212,8
220000_220300,吉林省_四平,42,2
220000_220400,吉林省_辽源,31,2
220000_220500,吉林省_通化,42,2
220000_220600,吉林省_白山,39,2
220000_220700,吉林省_松原,24,1
220000_220800,吉林省_白城,21,1
220000_222400,吉林省_延边,3,1
230000_230100,黑龙江省_哈尔,418,14
230000_230200,黑龙江省_齐齐,91,4
230000_230300,黑龙江省_鸡西,33,2
230000_230400,黑龙江省_鹤岗,37,2
230000_230500,黑龙江省_双鸭,23,1
230000_230600,黑龙江省_大庆,91,4
230000_230700,黑龙江省_伊春,29,1
230000_230800,黑龙江省_佳木,55,2
230000_230900,黑龙江省_七台,17,1
230000_231000,黑龙江省_牡丹,46,2
230000_231100,黑龙江省_黑河,12,1
230000_231200,黑龙江省_绥化,33,2
230000_232700,黑龙江省_大兴,9,1
320000_320100,江苏省_南京,327,11
320000_320200,江苏省_无锡,230,8
320000_320300,江苏省_徐州,85,3
320000_320400,江苏省_常州,87,3
320000_320500,江苏省_苏州,219,8
320000_320600,江苏省_南通,112,4
320000_320700,江苏省_连云,65,3
320000_320800,江苏省_淮安,118,4
320000_320900,江苏省_盐城,36,2
320000_321000,江苏省_扬州,49,2
320000_321100,江苏省_镇江,35,2
320000_321200,江苏省_泰州,51,2
320000_321300,江苏省_宿迁,16,1
330000_330100,浙江省_杭州,980,33
330000_330200,浙江省_宁波,459,16
330000_330300,浙江省_温州,536,18
330000_330400,浙江省_嘉兴,124,5
330000_330500,浙江省_湖州,194,7
330000_330600,浙江省_绍兴,357,12
330000_330700,浙江省_金华,367,13
330000_330800,浙江省_衢州,93,4
330000_330900,浙江省_舟山,46,2
330000_331000,浙江省_台州,64,3
330000_331100,浙江省_丽水,57,2
340000_340100,安徽省_合肥,179,6
340000_340200,安徽省_芜湖,60,3
340000_340300,安徽省_蚌埠,64,3
340000_340400,安徽省_淮南,48,2
340000_340500,安徽省_马鞍,36,2
340000_340600,安徽省_淮北,39,2
340000_340700,安徽省_铜陵,27,1
340000_340800,安徽省_安庆,38,2
340000_341000,安徽省_黄山,36,2
340000_341100,安徽省_滁州,27,1
340000_341200,安徽省_阜阳,48,2
340000_341300,安徽省_宿州,22,1
340000_341500,安徽省_六安,30,2
340000_341600,安徽省_亳州,23,1
340000_341700,安徽省_池州,17,1
340000_341800,安徽省_宣城,16,1
350000_350100,福建省_福州,335,12
350000_350200,福建省_厦门,107,4
350000_350300,福建省_莆田,62,3
350000_350400,福建省_三明,23,1
350000_350500,福建省_泉州,106,4
350000_350600,福建省_漳州,46,2
350000_350700,福建省_南平,29,1
350000_350800,福建省_龙岩,25,1
350000_350900,福建省_宁德,23,1
360000_360100,江西省_南昌,168,6
360000_360200,江西省_景德,16,1
360000_360300,江西省_萍乡,40,2
360000_360400,江西省_九江,56,2
360000_360500,江西省_新余,15,1
360000_360600,江西省_鹰潭,7,1
360000_360700,江西省_赣州,76,3
360000_360800,江西省_吉安,28,1
360000_360900,江西省_宜春,17,1
360000_361000,江西省_抚州,29,1
360000_361100,江西省_上饶,53,2
370000_370100,山东省_莱芜,77,3
370000_370200,山东省_青岛,610,21
370000_370300,山东省_淄博,486,17
370000_370400,山东省_枣庄,102,4
370000_370500,山东省_东营,312,11
370000_370600,山东省_烟台,371,13
370000_370700,山东省_潍坊,288,10
370000_370800,山东省_济宁,162,6
370000_370900,山东省_泰安,148,5
370000_371000,山东省_威海,256,9
370000_371100,山东省_日照,182,7
370000_371300,山东省_临沂,268,9
370000_371400,山东省_德州,161,6
370000_371500,山东省_聊城,214,8
370000_371600,山东省_滨州,339,12
370000_371700,山东省_菏泽,333,12
410000_410100,河南省_郑州,130,5
410000_410200,河南省_开封,42,2
410000_410300,河南省_洛阳,116,4
410000_410400,河南省_平顶,65,3
410000_410500,河南省_安阳,58,2
410000_410600,河南省_鹤壁,40,2
410000_410700,河南省_新乡,39,2
410000_410800,河南省_焦作,49,2
410000_410900,河南省_濮阳,35,2
410000_411000,河南省_许昌,30,2
410000_411100,河南省_漯河,37,2
410000_411200,河南省_三门,17,1
410000_411300,河南省_南阳,102,4
410000_411400,河南省_商丘,42,2
410000_411500,河南省_信阳,29,1
410000_411600,河南省_周口,20,1
410000_411700,河南省_驻马,17,1
410000_419001,河南省_济源,20,1
420000_420100,湖北省_武汉,412,14
420000_420200,湖北省_黄石,57,2
420000_420300,湖北省_十堰,38,2
420000_420500,湖北省_宜昌,27,1
420000_420600,湖北省_襄阳,68,3
420000_420700,湖北省_鄂州,27,1
420000_420800,湖北省_荆门,34,2
420000_420900,湖北省_孝感,35,2
420000_421000,湖北省_荆州,36,2
420000_421100,湖北省_黄冈,35,2
420000_421200,湖北省_咸宁,24,1
420000_421300,湖北省_随州,23,1
420000_422800,湖北省_恩施,19,1
420000_429004,湖北省_仙桃,17,1
420000_429005,湖北省_潜江,17,1
420000_429006,湖北省_天门,22,1
420000_429021,湖北省_神农,5,1
430000_430100,湖南省_长沙,126,5
430000_430200,湖南省_株洲,33,2
430000_430300,湖南省_湘潭,79,3
430000_430400,湖南省_衡阳,98,4
430000_430500,湖南省_邵阳,70,3
430000_430600,湖南省_岳阳,45,2
430000_430700,湖南省_常德,50,2
430000_430800,湖南省_张家,9,1
430000_430900,湖南省_益阳,27,1
430000_431000,湖南省_郴州,70,3
430000_431100,湖南省_永州,36,2
430000_431200,湖南省_怀化,43,2
430000_431300,湖南省_娄底,30,2
430000_433100,湖南省_湘西,5,1
440000_440100,广东省_广州,522,18
440000_440200,广东省_韶关,247,9
440000_440300,广东省_深圳,543,19
440000_440400,广东省_珠海,54,2
440000_440500,广东省_汕头,74,3
440000_440600,广东省_佛山,453,16
440000_440700,广东省_江门,40,2
440000_440800,广东省_湛江,628,21
440000_440900,广东省_茂名,32,2
440000_441200,广东省_肇庆,47,2
440000_441300,广东省_惠州,118,4
440000_441400,广东省_梅州,59,2
440000_441500,广东省_汕尾,32,2
440000_441600,广东省_河源,20,1
440000_441700,广东省_阳江,12,1
440000_441800,广东省_清远,87,3
440000_441900,广东省_东莞,152,6
440000_442000,广东省_中山,233,8
440000_445100,广东省_潮州,61,3
440000_445200,广东省_揭阳,53,2
440000_445300,广东省_云浮,5,1
450000_450100,广西壮族自治区_南宁,224,8
450000_450200,广西壮族自治区_柳州,156,6
450000_450300,广西壮族自治区_桂林,142,5
450000_450400,广西壮族自治区_梧州,67,3
450000_450500,广西壮族自治区_北海,37,2
450000_450600,广西壮族自治区_防城,23,1
450000_450700,广西壮族自治区_钦州,65,3
450000_450800,广西壮族自治区_贵港,89,3
450000_450900,广西壮族自治区_玉林,98,4
450000_451000,广西壮族自治区_百色,135,5
450000_451100,广西壮族自治区_贺州,55,2
450000_451200,广西壮族自治区_河池,140,5
450000_451300,广西壮族自治区_来宾,61,3
450000_451400,广西壮族自治区_崇左,77,3
460000_460100,海南省_海口,596,20
460000_460200,海南省_三亚,347,12
460000_460300,海南省_三亚,347,12
460000_460400,海南省_儋州,419,14
460000_469001,海南省_五指,101,4
460000_469002,海南省_琼海,139,5
460000_469005,海南省_文昌,121,5
460000_469006,海南省_万宁,412,14
460000_469007,海南省_东方,423,15
460000_469021,海南省_定安,207,7
460000_469022,海南省_屯昌,84,3
460000_469023,海南省_澄迈,331,12
460000_469024,海南省_临高,181,7
460000_469025,海南省_白沙,137,5
460000_469026,海南省_昌江,126,5
460000_469027,海南省_乐东,57,2
460000_469028,海南省_陵水,114,4
460000_469029,海南省_保亭,45,2
460000_469030,海南省_琼中,97,4
510000_510100,四川省_成都,728,25
510000_510300,四川省_自贡,64,3
510000_510400,四川省_攀枝,63,3
510000_510500,四川省_泸州,92,4
510000_510600,四川省_德阳,54,2
510000_510700,四川省_绵阳,71,3
510000_510800,四川省_广元,156,6
510000_510900,四川省_遂宁,48,2
510000_511000,四川省_内江,71,3
510000_511100,四川省_乐山,85,3
510000_511300,四川省_南充,121,5
510000_511400,四川省_眉山,81,3
510000_511500,四川省_宜宾,48,2
510000_511600,四川省_广安,78,3
510000_511700,四川省_达州,56,2
510000_511800,四川省_雅安,46,2
510000_511900,四川省_巴中,39,2
510000_512000,四川省_资阳,41,2
510000_513200,四川省_阿坝,43,2
510000_513300,四川省_甘孜,45,2
510000_513400,四川省_凉山,52,2
520000_520100,贵州省_贵阳,242,9
520000_520200,贵州省_六盘,108,4
520000_520300,贵州省_遵义,121,5
520000_520400,贵州省_安顺,53,2
520000_520500,贵州省_毕节,189,7
520000_520600,贵州省_铜仁,51,2
520000_522300,贵州省_黔西,73,3
520000_522600,贵州省_黔东,56,2
520000_522700,贵州省_黔南,64,3
530000_530100,云南省_昆明,273,10
530000_530300,云南省_曲靖,41,2
530000_530400,云南省_玉溪,15,1
530000_530500,云南省_保山,46,2
530000_530600,云南省_昭通,23,1
530000_530700,云南省_丽江,25,1
530000_530800,云南省_普洱,27,1
530000_530900,云南省_临沧,13,1
530000_532300,云南省_楚雄,45,2
530000_532500,云南省_红河,46,2
530000_532600,云南省_文山,32,2
530000_532800,云南省_西双,19,1
530000_532900,云南省_大理,70,3
530000_533100,云南省_德宏,18,1
530000_533300,云南省_怒江,3,1
530000_533400,云南省_迪庆,4,1
540000_540100,西藏自治区_拉萨,16,1
540000_540200,西藏自治区_日喀,3,1
540000_540300,西藏自治区_昌都,3,1
540000_540400,西藏自治区_林芝,4,1
540000_540500,西藏自治区_山南,5,1
540000_540600,西藏自治区_那曲,3,1
540000_542500,西藏自治区_阿里,0,0
610000_610100,陕西省_西安,545,19
610000_610200,陕西省_铜川,53,2
610000_610300,陕西省_宝鸡,80,3
610000_610400,陕西省_咸阳,120,5
610000_610500,陕西省_渭南,40,2
610000_610600,陕西省_延安,26,1
610000_610700,陕西省_汉中,47,2
610000_610800,陕西省_榆林,27,1
610000_610900,陕西省_安康,26,1
610000_611000,陕西省_商洛,13,1
620000_620100,甘肃省_兰州,121,5
620000_620200,甘肃省_嘉峪,10,1
620000_620300,甘肃省_金昌,11,1
620000_620400,甘肃省_白银,22,1
620000_620500,甘肃省_天水,44,2
620000_620600,甘肃省_武威,20,1
620000_620700,甘肃省_张掖,8,1
620000_620800,甘肃省_平凉,33,2
620000_620900,甘肃省_酒泉,14,1
620000_621000,甘肃省_庆阳,14,1
620000_621100,甘肃省_定西,13,1
620000_621200,甘肃省_陇南,18,1
620000_622900,甘肃省_临夏,12,1
620000_623000,甘肃省_甘南,4,1
630000_630100,青海省_西宁,73,3
630000_630200,青海省_海东,22,1
630000_632200,青海省_海北,3,1
630000_632300,青海省_黄南,3,1
630000_632500,青海省_海南,6,1
630000_632600,青海省_果洛,4,1
630000_632700,青海省_玉树,5,1
630000_632800,青海省_海西,1,1
640000_640100,宁夏回族自治区_银川,50,2
640000_640200,宁夏回族自治区_石嘴,19,1
640000_640300,宁夏回族自治区_吴忠,38,2
640000_640400,宁夏回族自治区_固原,17,1
640000_640500,宁夏回族自治区_中卫,6,1
