tid,task,dtnum
220000_220722,吉林省_长岭,5
220000_220771,吉林省_吉林,212
220000_220602,吉林省_浑江,17
220000_220702,吉林省_宁江,12
220000_220723,吉林省_乾安,3
220000_220781,吉林省_扶余,15
220000_220605,吉林省_江源,8
220000_220622,吉林省_靖宇,4
220000_220623,吉林省_长白,12
220000_220621,吉林省_抚松,8
150000_152921,内蒙古自治区_阿拉,58
220000_220681,吉林省_临江,5
220000_220721,吉林省_前郭,11
210000_211302,辽宁省_双塔,29
150000_152971,内蒙古自治区_内蒙,1154
150000_152923,内蒙古自治区_额济,10
210000_211321,辽宁省_朝阳,73
210000_211303,辽宁省_龙城,4
210000_211324,辽宁省_喀喇,0
210000_211322,辽宁省_建平,10
610000_610722,陕西省_城固,15
210000_211381,辽宁省_北票,19
210000_211382,辽宁省_凌源,19
610000_610723,陕西省_洋县,8
610000_610703,陕西省_南郑,10
610000_610702,陕西省_汉台,22
610000_610725,陕西省_勉县,13
610000_610726,陕西省_宁强,6
610000_610727,陕西省_略阳,9
610000_610724,陕西省_西乡,3
610000_610602,陕西省_宝塔,15
610000_610603,陕西省_安塞,2
610000_610728,陕西省_镇巴,4
610000_610622,陕西省_延川,4
610000_610730,陕西省_佛坪,3
610000_610729,陕西省_留坝,3
610000_610621,陕西省_延长,3
610000_610623,陕西省_子长,3
610000_610625,陕西省_志丹,6
610000_610626,陕西省_吴起,3
610000_610627,陕西省_甘泉,3
610000_610630,陕西省_宜川,3
610000_610628,陕西省_富县,4
610000_610629,陕西省_洛川,4
610000_610632,陕西省_黄陵,4
610000_610631,陕西省_黄龙,3
620000_623021,甘肃省_临潭,3
620000_623001,甘肃省_合作,11
620000_623023,甘肃省_舟曲,2
620000_623022,甘肃省_卓尼,3
620000_623025,甘肃省_玛曲,2
620000_623026,甘肃省_碌曲,2
620000_623024,甘肃省_迭部,2
620000_623027,甘肃省_夏河,2
620000_622901,甘肃省_临夏,12
620000_622922,甘肃省_康乐,5
620000_622923,甘肃省_永靖,2
620000_622925,甘肃省_和政,5
620000_622924,甘肃省_广河,5
620000_622926,甘肃省_东乡,3
620000_621102,甘肃省_安定,10
620000_622927,甘肃省_积石,3
620000_621121,甘肃省_通渭,3
620000_621122,甘肃省_陇西,11
620000_621123,甘肃省_渭源,4
620000_621124,甘肃省_临洮,9
620000_621125,甘肃省_漳县,2
620000_621126,甘肃省_岷县,4
620000_621002,甘肃省_西峰,13
620000_621021,甘肃省_庆城,3
620000_621023,甘肃省_华池,2
620000_621022,甘肃省_环县,5
620000_621024,甘肃省_合水,5
620000_621025,甘肃省_正宁,4
620000_620922,甘肃省_瓜州,5
620000_621027,甘肃省_镇原,0
620000_620902,甘肃省_肃州,7
620000_621026,甘肃省_宁县,15
620000_620921,甘肃省_金塔,3
620000_620923,甘肃省_肃北,3
620000_620981,甘肃省_玉门,12
620000_620924,甘肃省_阿克,2
620000_620982,甘肃省_敦煌,3
230000_231221,黑龙江省_望奎,3
230000_231222,黑龙江省_兰西,7
230000_231223,黑龙江省_青冈,6
230000_231224,黑龙江省_庆安,6
230000_231226,黑龙江省_绥棱,5
230000_231225,黑龙江省_明水,5
230000_231202,黑龙江省_北林,11
230000_231281,黑龙江省_安达,16
230000_231283,黑龙江省_海伦,7
540000_542521,西藏自治区_普兰,0
540000_542522,西藏自治区_札达,0
540000_542524,西藏自治区_日土,0
540000_542523,西藏自治区_噶尔,0
540000_542525,西藏自治区_革吉,0
540000_542526,西藏自治区_改则,0
230000_231282,黑龙江省_肇东,8
540000_540602,西藏自治区_色尼,1
540000_542527,西藏自治区_措勤,0
540000_540621,西藏自治区_嘉黎,0
540000_540502,西藏自治区_乃东,4
540000_540623,西藏自治区_聂荣,0
540000_540624,西藏自治区_安多,0
540000_540522,西藏自治区_贡嘎,1
540000_540625,西藏自治区_申扎,0
540000_540626,西藏自治区_索县,0
540000_540627,西藏自治区_班戈,0
540000_540622,西藏自治区_比如,0
540000_540628,西藏自治区_巴青,0
540000_540629,西藏自治区_尼玛,0
540000_540523,西藏自治区_桑日,1
540000_540630,西藏自治区_双湖,0
540000_540525,西藏自治区_曲松,1
540000_540524,西藏自治区_琼结,1
540000_540526,西藏自治区_措美,1
540000_540527,西藏自治区_洛扎,0
540000_540521,西藏自治区_扎囊,0
540000_540402,西藏自治区_巴宜,4
540000_540421,西藏自治区_工布,0
540000_540423,西藏自治区_墨脱,0
540000_540422,西藏自治区_米林,0
540000_540528,西藏自治区_加查,1
540000_540424,西藏自治区_波密,1
540000_540529,西藏自治区_隆子,1
540000_540530,西藏自治区_错那,0
540000_540531,西藏自治区_浪卡,0
540000_540302,西藏自治区_卡若,2
540000_540322,西藏自治区_贡觉,0
540000_540321,西藏自治区_江达,0
540000_540426,西藏自治区_朗县,0
540000_540323,西藏自治区_类乌,0
540000_540425,西藏自治区_察隅,0
540000_540325,西藏自治区_察雅,0
540000_540327,西藏自治区_左贡,0
540000_540328,西藏自治区_芒康,0
540000_540324,西藏自治区_丁青,0
540000_540330,西藏自治区_边坝,0
540000_540222,西藏自治区_江孜,0
540000_540202,西藏自治区_桑珠,3
540000_540221,西藏自治区_南木,0
540000_540223,西藏自治区_定日,0
540000_540329,西藏自治区_洛隆,0
540000_540224,西藏自治区_萨迦,0
540000_540326,西藏自治区_八宿,0
540000_540225,西藏自治区_拉孜,0
540000_540226,西藏自治区_昂仁,0
540000_540102,西藏自治区_城关,0
540000_540104,西藏自治区_达孜,0
540000_540103,西藏自治区_堆龙,1
540000_540121,西藏自治区_林周,0
540000_540227,西藏自治区_谢通,0
540000_540122,西藏自治区_当雄,1
540000_540228,西藏自治区_白朗,0
540000_540229,西藏自治区_仁布,0
540000_540123,西藏自治区_尼木,0
540000_540230,西藏自治区_康马,0
540000_540231,西藏自治区_定结,0
540000_540124,西藏自治区_曲水,1
540000_540127,西藏自治区_墨竹,0
540000_540171,西藏自治区_格尔,0
540000_540234,西藏自治区_吉隆,0
540000_540232,西藏自治区_仲巴,0
540000_540172,西藏自治区_拉萨,16
540000_540233,西藏自治区_亚东,0
540000_540236,西藏自治区_萨嘎,0
540000_540237,西藏自治区_岗巴,0
540000_540173,西藏自治区_西藏,2
620000_621221,甘肃省_成县,3
620000_621202,甘肃省_武都,17
620000_621222,甘肃省_文县,2
540000_540235,西藏自治区_聂拉,0
620000_621223,甘肃省_宕昌,5
620000_621224,甘肃省_康县,4
620000_621225,甘肃省_西和,3
620000_621226,甘肃省_礼县,7
620000_621227,甘肃省_徽县,2
620000_621228,甘肃省_两当,0
230000_231102,黑龙江省_爱辉,2
230000_231121,黑龙江省_嫩江,12
230000_231123,黑龙江省_逊克,3
230000_231182,黑龙江省_五大,5
230000_231124,黑龙江省_孙吴,2
230000_231003,黑龙江省_阳明,7
230000_231002,黑龙江省_东安,13
230000_231004,黑龙江省_爱民,10
230000_231005,黑龙江省_西安,2
230000_231181,黑龙江省_北安,15
230000_231071,黑龙江省_牡丹,46
230000_231025,黑龙江省_林口,11
230000_231081,黑龙江省_绥芬,8
230000_231085,黑龙江省_穆棱,6
230000_231083,黑龙江省_海林,9
230000_231084,黑龙江省_宁安,10
230000_231086,黑龙江省_东宁,6
230000_230903,黑龙江省_桃山,7
230000_230904,黑龙江省_茄子,2
230000_230921,黑龙江省_勃利,3
230000_230902,黑龙江省_新兴,10
230000_230803,黑龙江省_向阳,35
230000_230804,黑龙江省_前进,19
230000_230822,黑龙江省_桦南,7
230000_230805,黑龙江省_东风,23
230000_230811,黑龙江省_郊区,8
230000_230828,黑龙江省_汤原,6
230000_230881,黑龙江省_同江,3
230000_230882,黑龙江省_富锦,14
230000_230702,黑龙江省_伊春,29
230000_230826,黑龙江省_桦川,3
230000_230703,黑龙江省_南岔,7
230000_230883,黑龙江省_抚远,4
230000_230705,黑龙江省_西林,6
230000_230704,黑龙江省_友好,0
230000_230708,黑龙江省_美溪,0
230000_230706,黑龙江省_翠峦,0
230000_230707,黑龙江省_新青,0
230000_230709,黑龙江省_金山,0
230000_230710,黑龙江省_五营,0
230000_230711,黑龙江省_乌马,0
230000_230712,黑龙江省_汤旺,2
230000_230713,黑龙江省_带岭,0
230000_230714,黑龙江省_乌伊,0
230000_230602,黑龙江省_萨尔,13
230000_230716,黑龙江省_上甘,0
230000_230604,黑龙江省_让胡,32
230000_230715,黑龙江省_红星,3
230000_230606,黑龙江省_大同,14
230000_230603,黑龙江省_龙凤,3
230000_230605,黑龙江省_红岗,8
230000_230722,黑龙江省_嘉荫,0
230000_230621,黑龙江省_肇州,3
230000_230781,黑龙江省_铁力,9
230000_230624,黑龙江省_杜尔,2
230000_230622,黑龙江省_肇源,4
230000_230671,黑龙江省_大庆,91
230000_230502,黑龙江省_尖山,13
230000_230503,黑龙江省_岭东,2
230000_230623,黑龙江省_林甸,7
230000_230505,黑龙江省_四方,2
230000_230506,黑龙江省_宝山,6
230000_230523,黑龙江省_宝清,13
230000_230521,黑龙江省_集贤,10
230000_230522,黑龙江省_友谊,20
230000_230524,黑龙江省_饶河,4
