tid,task,dtnum
301_140000,三级甲等_山西省,45
301_130000,三级甲等_河北省,59
301_110000,三级甲等_北京市,67
301_150000,三级甲等_内蒙古自治区,33
301_120000,三级甲等_天津市,42
301_210000,三级甲等_辽宁省,89
301_220000,三级甲等_吉林省,33
301_320000,三级甲等_江苏省,87
301_310000,三级甲等_上海市,51
301_230000,三级甲等_黑龙江省,78
301_340000,三级甲等_安徽省,52
301_330000,三级甲等_浙江省,84
301_360000,三级甲等_江西省,56
301_350000,三级甲等_福建省,53
301_370000,三级甲等_山东省,125
301_410000,三级甲等_河南省,78
301_420000,三级甲等_湖北省,72
301_440000,三级甲等_广东省,140
301_430000,三级甲等_湖南省,60
301_450000,三级甲等_广西壮族自治区,53
301_460000,三级甲等_海南省,13
301_500000,三级甲等_重庆市,37
301_510000,三级甲等_四川省,94
301_520000,三级甲等_贵州省,30
301_530000,三级甲等_云南省,48
301_540000,三级甲等_西藏自治区,2
301_620000,三级甲等_甘肃省,26
301_610000,三级甲等_陕西省,57
301_640000,三级甲等_宁夏回族自治区,9
301_650000,三级甲等_新疆维吾尔自治区,29
302_110000,三级乙等_北京市,25
301_630000,三级甲等_青海省,10
302_130000,三级乙等_河北省,14
302_120000,三级乙等_天津市,6
302_140000,三级乙等_山西省,14
302_150000,三级乙等_内蒙古自治区,11
302_210000,三级乙等_辽宁省,19
302_230000,三级乙等_黑龙江省,5
302_220000,三级乙等_吉林省,9
302_320000,三级乙等_江苏省,53
302_310000,三级乙等_上海市,8
302_340000,三级乙等_安徽省,7
302_330000,三级乙等_浙江省,50
302_350000,三级乙等_福建省,18
302_360000,三级乙等_江西省,11
302_370000,三级乙等_山东省,21
302_410000,三级乙等_河南省,15
302_430000,三级乙等_湖南省,6
302_440000,三级乙等_广东省,25
302_420000,三级乙等_湖北省,9
302_450000,三级乙等_广西壮族自治区,5
302_460000,三级乙等_海南省,0
302_500000,三级乙等_重庆市,0
302_510000,三级乙等_四川省,72
302_530000,三级乙等_云南省,8
302_520000,三级乙等_贵州省,13
302_540000,三级乙等_西藏自治区,0
302_610000,三级乙等_陕西省,9
302_620000,三级乙等_甘肃省,17
302_630000,三级乙等_青海省,5
302_640000,三级乙等_宁夏回族自治区,3
302_650000,三级乙等_新疆维吾尔自治区,6
303_120000,三级丙等_天津市,0
303_110000,三级丙等_北京市,2
303_130000,三级丙等_河北省,3
303_140000,三级丙等_山西省,0
303_150000,三级丙等_内蒙古自治区,0
303_210000,三级丙等_辽宁省,2
303_220000,三级丙等_吉林省,3
303_230000,三级丙等_黑龙江省,0
303_320000,三级丙等_江苏省,0
303_310000,三级丙等_上海市,0
303_330000,三级丙等_浙江省,0
303_340000,三级丙等_安徽省,0
303_350000,三级丙等_福建省,0
303_360000,三级丙等_江西省,0
303_370000,三级丙等_山东省,1
303_410000,三级丙等_河南省,0
303_420000,三级丙等_湖北省,0
303_430000,三级丙等_湖南省,0
303_440000,三级丙等_广东省,0
303_460000,三级丙等_海南省,0
303_450000,三级丙等_广西壮族自治区,0
303_500000,三级丙等_重庆市,0
303_510000,三级丙等_四川省,0
303_520000,三级丙等_贵州省,0
303_530000,三级丙等_云南省,0
303_540000,三级丙等_西藏自治区,0
303_620000,三级丙等_甘肃省,0
303_630000,三级丙等_青海省,0
303_610000,三级丙等_陕西省,0
303_640000,三级丙等_宁夏回族自治区,0
303_650000,三级丙等_新疆维吾尔自治区,0
300_110000,三级未定_北京市,2
300_120000,三级未定_天津市,0
300_140000,三级未定_山西省,2
300_210000,三级未定_辽宁省,8
300_150000,三级未定_内蒙古自治区,25
300_230000,三级未定_黑龙江省,5
300_220000,三级未定_吉林省,2
300_130000,三级未定_河北省,1
300_310000,三级未定_上海市,3
300_320000,三级未定_江苏省,5
300_330000,三级未定_浙江省,0
300_350000,三级未定_福建省,0
300_340000,三级未定_安徽省,1
300_360000,三级未定_江西省,2
300_410000,三级未定_河南省,9
300_370000,三级未定_山东省,5
300_420000,三级未定_湖北省,7
300_430000,三级未定_湖南省,3
300_440000,三级未定_广东省,7
300_460000,三级未定_海南省,0
300_500000,三级未定_重庆市,0
300_510000,三级未定_四川省,2
300_450000,三级未定_广西壮族自治区,3
300_520000,三级未定_贵州省,2
300_530000,三级未定_云南省,1
300_540000,三级未定_西藏自治区,0
300_610000,三级未定_陕西省,2
300_620000,三级未定_甘肃省,1
300_630000,三级未定_青海省,0
300_640000,三级未定_宁夏回族自治区,0
