tid,task,dtnum
301_001_150000,三级甲等_综合医院_内蒙古自治区,18
301_001_130000,三级甲等_综合医院_河北省,39
301_001_210000,三级甲等_综合医院_辽宁省,53
301_001_140000,三级甲等_综合医院_山西省,27
301_001_230000,三级甲等_综合医院_黑龙江省,41
301_001_220000,三级甲等_综合医院_吉林省,23
301_001_350000,三级甲等_综合医院_福建省,29
301_001_330000,三级甲等_综合医院_浙江省,40
301_001_110000,三级甲等_综合医院_北京市,36
301_001_340000,三级甲等_综合医院_安徽省,37
301_001_360000,三级甲等_综合医院_江西省,29
301_001_120000,三级甲等_综合医院_天津市,22
301_001_420000,三级甲等_综合医院_湖北省,41
301_001_440000,三级甲等_综合医院_广东省,84
301_001_310000,三级甲等_综合医院_上海市,27
301_001_410000,三级甲等_综合医院_河南省,47
301_001_320000,三级甲等_综合医院_江苏省,48
301_001_500000,三级甲等_综合医院_重庆市,27
301_001_460000,三级甲等_综合医院_海南省,9
301_001_520000,三级甲等_综合医院_贵州省,20
301_001_370000,三级甲等_综合医院_山东省,61
301_001_510000,三级甲等_综合医院_四川省,54
301_001_530000,三级甲等_综合医院_云南省,28
301_001_640000,三级甲等_综合医院_宁夏回族自治区,5
301_001_630000,三级甲等_综合医院_青海省,5
301_001_450000,三级甲等_综合医院_广西壮族自治区,28
301_001_540000,三级甲等_综合医院_西藏自治区,2
301_001_610000,三级甲等_综合医院_陕西省,34
301_001_430000,三级甲等_综合医院_湖南省,40
301_002_130000,三级甲等_中医医院_河北省,7
301_001_650000,三级甲等_综合医院_新疆维吾尔自治区,22
301_002_140000,三级甲等_中医医院_山西省,4
301_002_120000,三级甲等_中医医院_天津市,3
301_001_620000,三级甲等_综合医院_甘肃省,18
301_002_110000,三级甲等_中医医院_北京市,7
301_002_220000,三级甲等_中医医院_吉林省,3
301_002_210000,三级甲等_中医医院_辽宁省,16
301_002_320000,三级甲等_中医医院_江苏省,14
301_002_310000,三级甲等_中医医院_上海市,2
301_002_330000,三级甲等_中医医院_浙江省,18
301_002_350000,三级甲等_中医医院_福建省,8
301_002_370000,三级甲等_中医医院_山东省,28
