task_id,task,total,page
110000,北京市,1522,51
120000,天津市,769,26
130000,河北省,2742,92
140000,山西省,1820,61
150000,内蒙古自治区,14160,473
210000,辽宁省,2145,72
220000,吉林省,1012,34
230000,黑龙江省,1484,50
310000,上海市,800,27
320000,江苏省,2904,97
330000,浙江省,11035,368
340000,安徽省,1547,52
350000,福建省,1405,47
360000,江西省,1119,38
370000,山东省,19337,645
410000,河南省,2306,77
420000,湖北省,1693,57
430000,湖南省,1798,60
440000,广东省,4658,156
450000,广西壮族自治区,2006,67
460000,海南省,5431,182
500000,重庆市,1108,37
510000,四川省,7624,255
520000,贵州省,1579,53
530000,云南省,1470,50
540000,西藏自治区,61,3
610000,陕西省,2260,76
620000,甘肃省,768,26
630000,青海省,265,9
640000,宁夏回族自治区,265,9
650000,新疆维吾尔自治区,1220,41
