pid,tid,name,purl,text
1__三级甲等_妇幼保健院__山西省_1_30,三级甲等_妇幼保健院_山西省_1,晋城市妇幼保健院,https://db.yaozh.com/hmap/650.html,|晋城市妇幼保健院|	|三级甲等||妇幼保健院||山西省||晋城市||城区||120||晋城市凤台西街2753号
1__三级甲等_妇幼保健院__山西省_1_30,三级甲等_妇幼保健院_山西省_1,临汾市妇幼保健院,https://db.yaozh.com/hmap/745.html,临汾市妇幼保健院|	|三级甲等||妇幼保健院||山西省||临汾市||尧都区||300||临汾市北外环359车站对面
1__三级甲等_妇幼保健院__山西省_1_30,三级甲等_妇幼保健院_山西省_1,太原市妇幼保健院,https://db.yaozh.com/hmap/1137.html,太原市妇幼保健院|	|三级甲等||妇幼保健院||山西省||太原市||迎泽区||130||太原市迎泽区南内环街395号
1__三级甲等_妇幼保健院__山西省_1_30,三级甲等_妇幼保健院_山西省_1,运城市妇幼保健院,https://db.yaozh.com/hmap/1424.html,运城市妇幼保健院|	|三级甲等||妇幼保健院||山西省||运城市||盐湖区||150||运城市河东东街328号
1__三级甲等_妇幼保健院__山西省_1_30,三级甲等_妇幼保健院_山西省_1,长治市妇幼保健院,https://db.yaozh.com/hmap/1474.html,长治市妇幼保健院|	|三级甲等||妇幼保健院||山西省||长治市||潞州区||150||长治市城西路48号|
1__二级乙等_专科医院__河南省_1_30,二级乙等_专科医院_河南省_1,洛阳市肛肠医院,https://db.yaozh.com/hmap/27033.html,|洛阳市肛肠医院|	|二级乙等||专科医院||河南省||洛阳市||涧西区||100||洛阳市老城历史街区西大街122号
1__二级乙等_专科医院__河南省_1_30,二级乙等_专科医院_河南省_1,商丘市第二人民医院,https://db.yaozh.com/hmap/27690.html,商丘市第二人民医院|	|二级乙等||专科医院||河南省||商丘市||梁园区||500||商丘市民主东路2号
1__二级乙等_专科医院__河南省_1_30,二级乙等_专科医院_河南省_1,南阳市宛城区第二人民医院,https://db.yaozh.com/hmap/27753.html,南阳市宛城区第二人民医院|	|二级乙等||专科医院||河南省||南阳市||宛城区||120||南阳市解放路102号
1__二级乙等_专科医院__河南省_1_30,二级乙等_专科医院_河南省_1,三门峡市精神卫生中心,https://db.yaozh.com/hmap/29032.html,三门峡市精神卫生中心|	|二级乙等||专科医院||河南省||三门峡市||湖滨区||150||三门峡市春秋路东段3号
1__二级乙等_专科医院__河南省_1_30,二级乙等_专科医院_河南省_1,信阳市眼科医院,https://db.yaozh.com/hmap/32715.html,信阳市眼科医院|	|二级乙等||专科医院||河南省||信阳市||浉河区||80||信阳市人民路31号
1__二级乙等_专科医院__河南省_1_30,二级乙等_专科医院_河南省_1,郑州市康复医院,https://db.yaozh.com/hmap/34697.html,郑州市康复医院|	|二级乙等||专科医院||河南省||郑州市||金水区||220||郑州市颖河路与伏牛路交叉口向东20米路北|
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,齐齐哈尔医学院第一附属医院,https://db.yaozh.com/hmap/921.html,|齐齐哈尔医学院第一附属医院|	|三级甲等||综合医院||黑龙江省||齐齐哈尔市||富拉尔基区||800||齐齐哈尔市富拉尔基区向阳大街26号
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,齐齐哈尔医学院第六附属医院,https://db.yaozh.com/hmap/922.html,齐齐哈尔医学院第六附属医院|	|三级甲等||综合医院||黑龙江省||齐齐哈尔市||建华区||1000||齐齐哈尔市公园路30号
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,齐齐哈尔医学院第二附属医院,https://db.yaozh.com/hmap/924.html,齐齐哈尔医学院第二附属医院|	|三级甲等||综合医院||黑龙江省||齐齐哈尔市||建华区||1700||齐齐哈尔市建华区中华西路39号
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,齐齐哈尔医学院第三附属医院,https://db.yaozh.com/hmap/925.html,齐齐哈尔医学院第三附属医院|	|三级甲等||综合医院||黑龙江省||齐齐哈尔市||铁锋区||2000||黑龙江省齐齐哈尔市铁锋区太顺街27号
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,大庆市第四医院,https://db.yaozh.com/hmap/964.html,大庆市第四医院|	|三级甲等||综合医院||黑龙江省||大庆市||让胡路区||707||大庆市让胡路区中央大街198号 
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,双鸭山市人民医院,https://db.yaozh.com/hmap/1102.html,双鸭山市人民医院|	|三级甲等||综合医院||黑龙江省||双鸭山市||尖山区||1000||双鸭山市尖山区滨水东路与民安东大街交叉口
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,绥化市第一医院,https://db.yaozh.com/hmap/1112.html,绥化市第一医院|	|三级甲等||综合医院||黑龙江省||绥化市||北林区||1000||绥化市北林路83号
1__三级甲等_综合医院__黑龙江省_2_30,三级甲等_综合医院_黑龙江省_2,黑龙江省农垦红兴隆分局中心医院,https://db.yaozh.com/hmap/1409.html,黑龙江省农垦红兴隆分局中心医院|	|三级甲等||综合医院||黑龙江省||双鸭山市||友谊县||800||友谊县红兴隆分局中心医院
